length,treatment,tank,family
14.9,s.control,R1,C
18,s.control,R1,H
15.9,s.control,R1,C
16,s.control,R1,O
17.4,s.control,R1,C
18.8,s.control,R1,M
16.1,s.control,R1,P
18.1,s.control,R1,G
17.6,s.control,R1,N
16,s.control,R1,K
15.8,s.control,R1,P
17.2,s.control,R1,O
13.8,s.control,R1,H
16.2,s.control,R1,A
16.2,s.control,R1,I
18.4,s.control,R1,K
15.1,s.control,R1,E
17.4,s.control,R1,C
9.3,s.control,R1,E
19.2,s.control,R1,H
14.9,s.control,R1,F
16.4,s.control,R1,C
15.1,s.control,R1,J
7.4,s.control,R1,G
16.4,s.control,R1,K
7.5,s.control,R1,E
17.1,s.control,R1,P
16.7,s.control,R1,H
15.5,s.control,R1,I
13.4,s.control,R1,I
15.1,s.control,R1,F
15.5,s.control,R1,E
8.5,s.control,R1,E
16.8,s.control,R1,K
17.1,s.control,R1,F
15.8,s.control,R1,O
12.5,s.control,R1,C
8.5,s.control,R1,G
16.6,s.control,R1,O
17,s.control,R1,K
13.5,s.control,R1,E
16.2,s.control,R1,P
17,s.control,R1,L
16.4,s.control,R1,K
14.4,s.control,R1,J
17.3,s.control,R1,J
15.6,s.control,R1,H
13.3,s.control,R1,F
16.9,s.control,R1,N
18.7,s.control,R1,M
18.3,s.control,R1,O
18.7,s.control,R1,N
17.6,s.control,R1,N
16,s.control,R1,M
17.1,s.control,R1,O
18.9,s.control,R1,G
16.5,s.control,R1,H
16.8,s.control,R1,A
15.6,s.control,R1,F
18.4,s.control,R1,K
12.8,s.control,R1,G
17.9,s.control,R1,I
17.1,s.control,R1,E
14.6,s.control,R1,A
9.7,s.control,R1,F
11.2,s.control,R1,P
15.8,s.control,R1,F
16.4,s.control,R1,C
16.5,s.control,R1,P
12.7,s.control,R1,F
16.3,s.control,R1,E
10,s.control,R1,K
16,s.control,R1,E
17.1,s.control,R1,I
15.5,s.control,R1,F
16,s.control,R1,F
16.4,s.control,R1,J
13,s.control,R1,E
16.7,s.control,R1,I
17.8,s.control,R1,K
14.8,s.control,R1,A
18.9,s.control,R1,H
18,s.control,R1,K
14.8,s.control,R1,P
13.1,s.control,R1,J
17,s.control,R1,G
8.9,s.control,R1,E
9.8,s.control,R1,E
18.4,s.control,R1,O
9.3,s.control,R1,E
15.7,s.control,R1,L
15.3,s.control,R1,A
15.3,s.control,R1,P
11.7,s.control,R1,C
18.6,s.control,R1,N
18,s.control,R1,N
17.2,s.control,R1,L
16.8,s.control,R1,I
19,s.control,R1,H
13,s.control,R1,F
16.8,s.control,R1,J
14.9,s.control,R1,E
18.8,s.control,R1,O
17.7,s.control,R1,K
13.9,s.control,R1,J
9.6,s.control,R1,A
18,s.control,R1,K
16.9,s.control,R1,F
17.4,s.control,R1,G
17.2,s.control,R1,F
15.5,s.control,R1,A
15.5,s.control,R1,F
8.3,s.control,R1,I
16,s.control,R1,G
16,s.control,R1,E
14.3,s.control,R1,H
18,s.control,R1,L
15.8,s.control,R1,F
15,s.control,R1,E
16.8,s.control,R1,M
16.5,s.control,R1,K
15.6,s.control,R1,N
14.5,s.control,R1,J
14,s.control,R1,C
17.3,s.control,R1,O
17,s.control,R1,K
18.4,s.control,R1,M
16.6,s.control,R1,A
9,s.control,R1,N
17.5,s.control,R1,O
19,s.control,R1,K
15.5,s.control,R1,P
16.5,s.control,R1,O
18,s.control,R1,L
14.5,s.control,R1,J
17.5,s.control,R1,N
18.4,s.control,R1,K
16.9,s.control,R1,N
18.2,s.control,R1,I
16.4,s.control,R1,J
9.2,s.control,R1,I
14.9,s.control,R1,C
16.8,s.control,R1,I
16.4,s.control,R1,H
17.9,s.control,R1,L
14.2,s.control,R1,O
17,s.control,R1,H
15,s.control,R1,G
7.8,s.control,R1,A
13,s.control,R1,H
15.4,s.control,R1,H
13.8,s.control,R1,J
10.2,s.control,R1,E
19.8,s.control,R1,O
16.3,s.control,R1,L
19.6,s.control,R1,K
16.7,s.control,R1,G
16.3,s.control,R1,H
15.4,s.control,R1,H
19.3,s.control,R1,M
10,s.control,R1,E
17.5,s.control,R1,F
16.5,s.control,R1,N
9,s.control,R1,E
16.8,s.control,R1,F
17.6,s.control,R1,K
16.2,s.control,R1,M
16.5,s.control,R1,C
16.5,s.control,R1,J
14.6,s.control,R1,J
16.2,s.control,R1,C
16,s.control,R1,L
15.2,s.control,R1,E
16.6,s.control,R1,F
16.7,s.control,R1,H
18.9,s.control,R1,M
18.6,s.control,R1,G
17.9,s.control,R1,O
16.7,s.control,R1,J
16.3,s.control,R1,H
14.6,s.control,R1,C
13.3,s.control,R1,F
9.3,s.control,R1,G
18.5,s.control,R1,I
17,s.control,R1,O
15.7,s.control,R1,I
16.5,s.control,R1,A
14.7,s.control,R1,C
16.1,s.control,R1,J
18.9,s.control,R1,I
17.7,s.control,R1,M
16.6,s.control,R1,J
17.8,s.control,R1,L
14.6,s.control,R1,N
16.6,s.control,R1,L
10.8,s.control,R1,P
15.8,s.control,R1,A
18.8,s.control,R1,M
20.2,s.control,R1,M
15.8,s.control,R1,N
13,s.control,R1,P
17.8,s.control,R1,I
16.5,s.control,R1,O
14.6,s.control,R1,F
14.5,s.control,R1,E
14.5,s.control,R1,J
7.8,s.control,R1,E
16.2,s.control,R1,L
17.2,s.control,R1,P
16,s.control,R1,L
13.8,s.control,R1,L
15.1,s.control,R1,F
17.1,s.control,R1,G
17.5,s.control,R1,E
12.2,s.control,R1,N
16.8,s.control,R1,N
16.1,s.control,R1,K
10.5,s.control,R1,N
17.9,s.control,R1,A
17.3,s.control,R1,N
17.3,s.control,R1,C
16.8,s.control,R1,L
13.5,s.control,R1,J
17,s.control,R1,P
17.3,s.control,R1,F
16,s.control,R1,O
15.1,s.control,R1,F
13.7,s.control,R1,J
18.2,s.control,R1,L
18,s.control,R1,N
16,s.control,R1,G
15,s.control,R1,A
16.9,s.control,R1,N
12.9,s.control,R1,F
16.8,s.control,R1,P
17.1,s.control,R1,O
16.9,s.control,R1,F
15.3,s.control,R1,F
14.7,s.control,R1,N
11.9,s.control,R1,P
18,s.control,R1,L
14.8,s.control,R1,P
19.5,s.control,R1,K
16.4,s.control,R1,G
16.5,s.control,R1,O
17.1,s.control,R1,K
8.4,s.control,R1,C
17.7,s.control,R1,C
17.9,s.control,R1,P
15.8,s.control,R1,O
15.9,s.control,R1,A
9.4,s.control,R1,M
20,s.control,R1,M
18.8,s.control,R1,N
15.4,s.control,R1,E
15.5,s.control,R1,O
11.2,s.control,R1,I
16.8,s.control,R1,P
17.9,s.control,R1,N
16.1,s.control,R1,A
16.7,s.control,R1,L
8.6,s.control,R1,N
17,s.control,R1,A
16,s.control,R1,A
14.4,s.control,R1,G
19.2,s.control,R1,K
16,s.control,R1,H
18.8,s.control,R1,O
16.4,s.control,R1,N
15,s.control,R1,P
14.5,s.control,R1,H
11.4,s.control,R1,E
18.5,s.control,R1,I
17,s.control,R1,G
13.8,s.control,R1,J
17.6,s.control,R1,L
15,s.control,R1,P
16.8,s.control,R1,L
13.9,s.control,R1,P
16.8,s.control,R1,C
17.4,s.control,R1,M
15.8,s.control,R1,H
17,s.control,R1,J
16.6,s.control,R1,I
14.5,s.control,R1,K
18.9,s.control,R1,K
16,s.control,R1,K
15.9,s.control,R1,L
16.4,s.control,R1,C
15,s.control,R1,P
15.5,s.control,R1,I
17.8,s.control,R1,I
15.6,s.control,R1,C
11.8,s.control,R1,P
17.5,s.control,R1,O
15.8,s.control,R1,J
13.5,s.control,R1,F
17.5,s.control,R1,H
15.7,s.control,R1,C
15.9,s.control,R2,H
15.9,s.control,R2,O
15.9,s.control,R2,A
14.4,s.control,R2,D
15.2,s.control,R2,K
13.6,s.control,R2,A
17.9,s.control,R2,H
15.8,s.control,R2,I
15.2,s.control,R2,K
17.1,s.control,R2,M
16.4,s.control,R2,K
16.8,s.control,R2,K
14.4,s.control,R2,F
13.6,s.control,R2,P
11,s.control,R2,E
15.9,s.control,R2,N
16.8,s.control,R2,K
14.8,s.control,R2,F
17.4,s.control,R2,M
17.2,s.control,R2,G
16.5,s.control,R2,D
15.9,s.control,R2,E
12.5,s.control,R2,E
14.9,s.control,R2,P
15.1,s.control,R2,E
15,s.control,R2,K
16.1,s.control,R2,M
14.4,s.control,R2,G
10.8,s.control,R2,M
16.8,s.control,R2,A
17.3,s.control,R2,C
15.4,s.control,R2,O
16.3,s.control,R2,E
16.4,s.control,R2,C
17.2,s.control,R2,I
12.8,s.control,R2,P
16,s.control,R2,N
16.2,s.control,R2,A
15.3,s.control,R2,D
15.5,s.control,R2,D
13.7,s.control,R2,L
17,s.control,R2,D
17.2,s.control,R2,G
14.7,s.control,R2,A
15.3,s.control,R2,A
17,s.control,R2,A
18,s.control,R2,N
13.9,s.control,R2,F
14.4,s.control,R2,N
16.5,s.control,R2,D
12,s.control,R2,L
14.4,s.control,R2,L
17,s.control,R2,O
11,s.control,R2,O
16.2,s.control,R2,K
15.2,s.control,R2,H
17.6,s.control,R2,N
16.1,s.control,R2,F
16.1,s.control,R2,O
15.3,s.control,R2,G
16.3,s.control,R2,K
16.1,s.control,R2,K
14.1,s.control,R2,F
18,s.control,R2,N
15,s.control,R2,P
16,s.control,R2,O
16,s.control,R2,F
16.5,s.control,R2,D
14.7,s.control,R2,P
17.6,s.control,R2,K
16.5,s.control,R2,I
16,s.control,R2,H
14,s.control,R2,A
15,s.control,R2,O
18.5,s.control,R2,K
15.8,s.control,R2,P
17,s.control,R2,I
15.9,s.control,R2,M
16.8,s.control,R2,O
16.5,s.control,R2,C
16.2,s.control,R2,L
15.8,s.control,R2,D
16.2,s.control,R2,M
13.5,s.control,R2,E
14.7,s.control,R2,G
15.4,s.control,R2,M
17.2,s.control,R2,L
15.1,s.control,R2,M
17.2,s.control,R2,K
7.4,s.control,R2,L
16,s.control,R2,N
16.5,s.control,R2,H
17.3,s.control,R2,H
15.5,s.control,R2,O
15.3,s.control,R2,F
13.8,s.control,R2,F
17,s.control,R2,O
12,s.control,R2,P
17.2,s.control,R2,C
16,s.control,R2,K
14.6,s.control,R2,F
14,s.control,R2,P
18.2,s.control,R2,C
9,s.control,R2,M
16.6,s.control,R2,D
14.7,s.control,R2,F
15.5,s.control,R2,J
14,s.control,R2,A
16.9,s.control,R2,O
13.2,s.control,R2,P
16.4,s.control,R2,F
16,s.control,R2,E
14.7,s.control,R2,N
16.6,s.control,R2,F
16.8,s.control,R2,N
17.2,s.control,R2,H
16.5,s.control,R2,N
13.2,s.control,R2,A
14.5,s.control,R2,G
9,s.control,R2,E
17.6,s.control,R2,N
18,s.control,R2,K
16.5,s.control,R2,G
16.2,s.control,R2,F
15.8,s.control,R2,D
16.5,s.control,R2,A
16.8,s.control,R2,I
16.2,s.control,R2,D
16.5,s.control,R2,K
16,s.control,R2,A
14.2,s.control,R2,J
12.4,s.control,R2,J
18.7,s.control,R2,A
16.8,s.control,R2,H
15.4,s.control,R2,O
15.9,s.control,R2,P
16,s.control,R2,E
16.5,s.control,R2,K
13.6,s.control,R2,A
16.3,s.control,R2,H
13.7,s.control,R2,C
10.5,s.control,R2,G
10.1,s.control,R2,E
15,s.control,R2,D
16.9,s.control,R2,I
15.8,s.control,R2,D
16.1,s.control,R2,N
16.8,s.control,R2,H
15.7,s.control,R2,H
13.6,s.control,R2,G
13.5,s.control,R2,I
15.7,s.control,R2,H
16,s.control,R2,K
10.8,s.control,R2,P
12.2,s.control,R2,F
15.7,s.control,R2,C
18.1,s.control,R2,K
17.6,s.control,R2,H
17.2,s.control,R2,M
16.3,s.control,R2,G
15.1,s.control,R2,E
17.3,s.control,R2,I
15.7,s.control,R2,P
17.7,s.control,R2,H
15.5,s.control,R2,H
14.3,s.control,R2,L
16.2,s.control,R2,I
15.2,s.control,R2,N
16.6,s.control,R2,K
16.7,s.control,R2,P
16.8,s.control,R2,F
15.8,s.control,R2,D
14.8,s.control,R2,P
15.1,s.control,R2,P
17,s.control,R2,O
16,s.control,R2,F
15.5,s.control,R2,D
11.8,s.control,R2,E
14.2,s.control,R2,N
17.8,s.control,R2,I
17,s.control,R2,D
13,s.control,R2,P
15.8,s.control,R2,F
16.4,s.control,R2,I
16,s.control,R2,J
15,s.control,R2,N
16.4,s.control,R2,O
14.1,s.control,R2,A
13.3,s.control,R2,J
16.3,s.control,R2,N
14,s.control,R2,O
12.1,s.control,R2,I
14.6,s.control,R2,E
15.5,s.control,R2,F
15,s.control,R2,L
16.8,s.control,R2,C
14.9,s.control,R2,J
13.5,s.control,R2,H
17.2,s.control,R2,G
15.1,s.control,R2,E
17.1,s.control,R2,L
16.5,s.control,R2,E
16,s.control,R2,O
15.2,s.control,R2,F
16.9,s.control,R2,D
15.1,s.control,R2,I
14.5,s.control,R2,J
13.4,s.control,R2,A
17.7,s.control,R2,O
16,s.control,R2,N
14.5,s.control,R2,L
14.2,s.control,R2,P
16.2,s.control,R2,I
16.5,s.control,R2,N
18.5,s.control,R2,M
16.7,s.control,R2,D
15.7,s.control,R2,I
12.2,s.control,R2,P
14,s.control,R2,O
15.5,s.control,R2,J
16.5,s.control,R2,K
17.7,s.control,R2,I
15.7,s.control,R2,N
17.2,s.control,R2,K
17,s.control,R2,C
17,s.control,R2,L
17.2,s.control,R2,I
12.8,s.control,R2,D
13.6,s.control,R2,P
7.5,s.control,R2,G
14.8,s.control,R2,J
16.3,s.control,R2,D
15.5,s.control,R2,O
17.9,s.control,R2,L
17.3,s.control,R2,K
14.6,s.control,R2,L
15.8,s.control,R2,I
17.3,s.control,R2,M
13.5,s.control,R2,I
15.7,s.control,R2,I
14.7,s.control,R2,J
8.2,s.control,R2,C
16,s.control,R2,P
15,s.control,R2,P
16.7,s.control,R2,H
16.9,s.control,R2,P
15.8,s.control,R2,N
17.4,s.control,R2,M
16.3,s.control,R2,J
16.2,s.control,R2,L
15,s.control,R2,L
18.5,s.control,R2,G
17.4,s.control,R2,G
17.5,s.control,R2,I
16.1,s.control,R2,K
18.3,s.control,R2,H
16,s.control,R2,I
15,s.control,R2,C
15.6,s.control,R2,F
14.6,s.control,R2,M
17.2,s.control,R2,O
13.8,s.control,R2,L
14.5,s.control,R2,L
15.8,s.control,R2,N
18.7,s.control,R2,G
16.2,s.control,R2,M
18.4,s.control,R2,G
15.8,s.control,R2,N
14.9,s.control,R2,E
17.4,s.control,R2,O
17,s.control,R2,K
12.3,s.control,R2,C
13.9,s.control,R2,D
15.2,s.control,R2,N
16.5,s.control,R2,O
18.3,s.control,R2,H
15.5,s.control,R2,G
17.7,s.control,R2,F
15.9,s.control,R2,N
14.7,s.control,R2,D
12.07,s.control,R2,J
11.8,s.control,R2,N
16,s.control,R2,J
17,s.control,R2,A
17,s.control,R2,L
14,s.control,R2,C
13.9,s.control,R2,F
14,s.control,R2,C
16,s.control,R2,H
13.8,s.control,R2,P
14.8,s.control,R2,L
10,s.control,R2,G
15.8,s.control,R2,L
16,s.control,R2,E
14.5,s.control,R2,P
13.2,s.control,R2,F
13.5,s.control,R2,M
15,s.control,R2,O
16.5,s.control,R2,H
14.5,s.control,R2,E
16.3,s.control,R2,O
13,s.control,R2,H
15.6,s.control,R2,O
16.7,s.control,R2,O
15.2,s.control,R2,I
12.9,s.control,R2,P
7.8,s.control,R2,L
16.8,s.control,R2,L
17.6,s.control,R2,H
15.8,s.control,R2,H
7,s.control,R2,K
16.3,s.control,R2,D
15.3,s.control,R2,F
13.8,s.control,R2,P
13,s.control,R2,J
16.9,structure,R3,I
16.3,structure,R3,O
16,structure,R3,K
18.8,structure,R3,K
18.4,structure,R3,O
16.8,structure,R3,K
14.1,structure,R3,A
17,structure,R3,N
14,structure,R3,E
13.9,structure,R3,P
7.5,structure,R3,K
19,structure,R3,K
17.6,structure,R3,K
16,structure,R3,H
13.6,structure,R3,E
15.4,structure,R3,E
19,structure,R3,I
15.6,structure,R3,F
15.9,structure,R3,O
17.2,structure,R3,P
13,structure,R3,A
7,structure,R3,K
17.3,structure,R3,M
14.1,structure,R3,K
16,structure,R3,L
18,structure,R3,M
18.5,structure,R3,K
18,structure,R3,G
11,structure,R3,J
9.6,structure,R3,A
15.8,structure,R3,G
13.9,structure,R3,H
7.4,structure,R3,E
18.8,structure,R3,K
10.8,structure,R3,I
17.9,structure,R3,N
19.8,structure,R3,K
16,structure,R3,E
17.1,structure,R3,D
18,structure,R3,N
15,structure,R3,P
14.5,structure,R3,O
13,structure,R3,F
18.9,structure,R3,P
11.3,structure,R3,H
17.9,structure,R3,L
16,structure,R3,H
16,structure,R3,D
15.7,structure,R3,P
14,structure,R3,F
15.5,structure,R3,L
15.3,structure,R3,F
15.2,structure,R3,P
14.6,structure,R3,C
12.2,structure,R3,C
17,structure,R3,M
13.7,structure,R3,C
11,structure,R3,P
17.7,structure,R3,M
15.6,structure,R3,P
9.9,structure,R3,H
17.6,structure,R3,G
12.4,structure,R3,L
15,structure,R3,P
13,structure,R3,E
11.8,structure,R3,L
15.6,structure,R3,H
12,structure,R3,D
19,structure,R3,I
16,structure,R3,F
15,structure,R3,K
17,structure,R3,A
17.1,structure,R3,K
17.6,structure,R3,N
14.6,structure,R3,E
12,structure,R3,O
9.8,structure,R3,K
18,structure,R3,N
19,structure,R3,K
15,structure,R3,F
15.7,structure,R3,D
16.1,structure,R3,P
18.8,structure,R3,K
17.2,structure,R3,A
16,structure,R3,E
15.7,structure,R3,J
16.3,structure,R3,E
11.6,structure,R3,H
10,structure,R3,K
19.1,structure,R3,P
17,structure,R3,K
19.2,structure,R3,M
17.9,structure,R3,E
16.3,structure,R3,H
12,structure,R3,C
17.7,structure,R3,N
15.8,structure,R3,M
15.4,structure,R3,O
14,structure,R3,F
17,structure,R3,G
16.4,structure,R3,G
9.5,structure,R3,L
15,structure,R3,K
18.8,structure,R3,C
15.2,structure,R3,K
16.7,structure,R3,D
16.1,structure,R3,O
13.7,structure,R3,N
14.8,structure,R3,H
15.9,structure,R3,J
14,structure,R3,F
17.1,structure,R3,N
18,structure,R3,O
18,structure,R3,I
15.5,structure,R3,E
16.5,structure,R3,H
12.5,structure,R3,G
15,structure,R3,O
16.5,structure,R3,O
15.6,structure,R3,J
15.9,structure,R3,H
13.4,structure,R3,C
17.1,structure,R3,G
16.2,structure,R3,H
15.5,structure,R3,L
17.8,structure,R3,G
17.8,structure,R3,N
14.7,structure,R3,C
16.7,structure,R3,N
16.4,structure,R3,I
14.8,structure,R3,H
13.2,structure,R3,J
16,structure,R3,I
14.8,structure,R3,F
17.8,structure,R3,N
18.6,structure,R3,O
16.9,structure,R3,F
17.1,structure,R3,O
15.5,structure,R3,L
17.9,structure,R3,D
16,structure,R3,C
17.3,structure,R3,J
16.8,structure,R3,N
6.6,structure,R3,M
13,structure,R3,J
13.5,structure,R3,J
16.4,structure,R3,D
16.1,structure,R3,E
15.8,structure,R3,P
15.6,structure,R3,H
13.1,structure,R3,G
16.7,structure,R3,P
15.8,structure,R3,M
13.4,structure,R3,H
15.5,structure,R3,J
16.5,structure,R3,K
12.6,structure,R3,L
11,structure,R3,C
18,structure,R3,G
17.1,structure,R3,H
15.9,structure,R3,P
18,structure,R3,K
16.2,structure,R3,I
16.7,structure,R3,D
14,structure,R3,F
15.5,structure,R3,H
16,structure,R3,L
9.5,structure,R3,C
10,structure,R3,H
17.2,structure,R3,E
19.6,structure,R3,D
16,structure,R3,D
14.6,structure,R3,O
15,structure,R3,L
16.8,structure,R3,N
16.6,structure,R3,N
11.5,structure,R3,I
15.6,structure,R3,N
18.5,structure,R3,K
12.1,structure,R3,L
12.5,structure,R3,E
18.3,structure,R3,L
16,structure,R3,O
18.5,structure,R3,M
17.1,structure,R3,H
16.6,structure,R3,E
13.6,structure,R3,F
15.6,structure,R3,D
18,structure,R3,L
15.5,structure,R3,P
15.2,structure,R3,P
7.5,structure,R3,A
15.8,structure,R3,L
18.5,structure,R3,L
16.6,structure,R3,C
15.1,structure,R3,L
17.3,structure,R3,O
14.5,structure,R3,C
13.2,structure,R3,A
16,structure,R3,J
14,structure,R3,F
13.9,structure,R3,H
14.5,structure,R3,J
16,structure,R3,K
18.5,structure,R3,H
17.9,structure,R3,A
17,structure,R3,L
16,structure,R3,E
16.2,structure,R3,I
15.1,structure,R3,H
15.7,structure,R3,A
19,structure,R3,F
14.9,structure,R3,F
18.9,structure,R3,N
15,structure,R3,C
10.4,structure,R3,L
15.6,structure,R3,M
18,structure,R3,I
16.9,structure,R3,A
16.5,structure,R3,G
17.5,structure,R3,F
15.8,structure,R3,J
12.6,structure,R3,C
16.3,structure,R3,I
13.5,structure,R3,G
16.1,structure,R3,K
17,structure,R3,E
18.2,structure,R3,O
17,structure,R3,N
16.5,structure,R3,C
16.5,structure,R3,L
17.5,structure,R3,D
17.6,structure,R3,N
15.7,structure,R3,N
18.2,structure,R3,G
16.2,structure,R3,O
13.9,structure,R3,J
10,structure,R3,D
17,structure,R3,O
15.1,structure,R3,N
16.6,structure,R3,N
16,structure,R3,O
14.8,structure,R3,O
16.1,structure,R3,G
15,structure,R3,F
17.6,structure,R3,N
15.4,structure,R3,O
16.4,structure,R3,E
14.5,structure,R3,C
16.3,structure,R3,P
14.8,structure,R3,O
17.4,structure,R3,O
16,structure,R3,I
17,structure,R3,D
16,structure,R3,P
16,structure,R3,P
19,structure,R3,M
13,structure,R3,F
15,structure,R3,J
16,structure,R3,M
16.4,structure,R3,E
11.3,structure,R3,F
16.3,structure,R3,N
17.1,structure,R3,L
15.9,structure,R3,I
17,structure,R3,H
17.5,structure,R3,L
14,structure,R3,E
15.1,structure,R3,I
15.4,structure,R3,P
17,structure,R3,N
16,structure,R3,E
16.5,structure,R3,N
12.9,structure,R3,P
17.4,structure,R3,P
19.3,structure,R3,G
15.1,structure,R3,M
15.1,structure,R3,P
17.5,structure,R3,I
15.8,structure,R3,K
12.4,structure,R3,G
15.3,structure,R3,E
12.9,structure,R3,D
15.4,structure,R3,A
10.1,structure,R3,H
15,structure,R3,P
9,structure,R3,L
14.5,structure,R3,J
9,structure,R3,E
14.2,structure,R3,P
8.4,structure,R3,E
14.8,structure,R3,J
14.4,s.control,R4,A
17.5,s.control,R4,M
16.4,s.control,R4,F
17.9,s.control,R4,O
15.1,s.control,R4,A
15.4,s.control,R4,C
15,s.control,R4,J
13.2,s.control,R4,P
16.6,s.control,R4,J
13.6,s.control,R4,D
16.6,s.control,R4,N
18.3,s.control,R4,K
17.3,s.control,R4,D
17.7,s.control,R4,M
18.4,s.control,R4,L
16.6,s.control,R4,H
9.9,s.control,R4,A
15.6,s.control,R4,C
15,s.control,R4,L
15.8,s.control,R4,I
12.7,s.control,R4,J
13.3,s.control,R4,F
14.5,s.control,R4,P
15.3,s.control,R4,F
14.9,s.control,R4,L
17.2,s.control,R4,I
16.1,s.control,R4,M
14.6,s.control,R4,A
14.8,s.control,R4,C
16.2,s.control,R4,I
17.4,s.control,R4,D
9.7,s.control,R4,E
10.1,s.control,R4,A
15.5,s.control,R4,I
15.4,s.control,R4,K
18.4,s.control,R4,M
16.6,s.control,R4,K
18.4,s.control,R4,O
16,s.control,R4,E
15.7,s.control,R4,O
14.7,s.control,R4,H
16.2,s.control,R4,K
13.8,s.control,R4,J
15,s.control,R4,H
8.1,s.control,R4,E
17.3,s.control,R4,H
13.8,s.control,R4,E
16.8,s.control,R4,F
17.4,s.control,R4,H
15.5,s.control,R4,K
15.4,s.control,R4,L
16.7,s.control,R4,D
14.2,s.control,R4,F
17.2,s.control,R4,O
13.6,s.control,R4,L
18.6,s.control,R4,O
14.6,s.control,R4,O
15.6,s.control,R4,I
15,s.control,R4,J
15.7,s.control,R4,P
14.8,s.control,R4,L
15.9,s.control,R4,F
17.4,s.control,R4,K
18.3,s.control,R4,M
15.5,s.control,R4,J
14.4,s.control,R4,O
15.5,s.control,R4,I
18,s.control,R4,H
16.4,s.control,R4,M
14.7,s.control,R4,A
17,s.control,R4,K
16.2,s.control,R4,N
17.3,s.control,R4,M
16.4,s.control,R4,C
15.5,s.control,R4,O
14.4,s.control,R4,E
15.2,s.control,R4,C
13.8,s.control,R4,P
13.9,s.control,R4,L
14.9,s.control,R4,P
16.8,s.control,R4,O
15.5,s.control,R4,P
15.6,s.control,R4,K
14.6,s.control,R4,I
15.4,s.control,R4,H
17.1,s.control,R4,O
15.5,s.control,R4,L
17.3,s.control,R4,D
17.4,s.control,R4,H
13.1,s.control,R4,J
12,s.control,R4,J
15.1,s.control,R4,C
17.1,s.control,R4,H
15.4,s.control,R4,F
12.1,s.control,R4,H
15.8,s.control,R4,N
14.5,s.control,R4,E
16,s.control,R4,L
14,s.control,R4,F
14.7,s.control,R4,L
12.5,s.control,R4,E
18.4,s.control,R4,M
13.8,s.control,R4,J
15.1,s.control,R4,I
16.6,s.control,R4,D
17,s.control,R4,G
14.8,s.control,R4,E
8.1,s.control,R4,G
14.8,s.control,R4,H
17,s.control,R4,K
16.6,s.control,R4,F
12.3,s.control,R4,P
15.3,s.control,R4,N
15.4,s.control,R4,L
17.4,s.control,R4,K
16.4,s.control,R4,L
12.6,s.control,R4,D
16,s.control,R4,H
15.2,s.control,R4,K
13.1,s.control,R4,P
15.9,s.control,R4,I
18,s.control,R4,O
14.7,s.control,R4,F
17.4,s.control,R4,H
15,s.control,R4,F
13.6,s.control,R4,I
16.8,s.control,R4,G
16.5,s.control,R4,O
17.3,s.control,R4,H
16.7,s.control,R4,N
13.9,s.control,R4,A
16.3,s.control,R4,F
16.2,s.control,R4,O
13.3,s.control,R4,C
15.9,s.control,R4,O
14.6,s.control,R4,J
15.6,s.control,R4,O
15,s.control,R4,E
15.6,s.control,R4,G
16.8,s.control,R4,O
16.5,s.control,R4,F
8.5,s.control,R4,N
8,s.control,R4,D
14.5,s.control,R4,A
15.9,s.control,R4,F
13.8,s.control,R4,H
16,s.control,R4,G
16.3,s.control,R4,E
12.9,s.control,R4,E
14.3,s.control,R4,H
16.9,s.control,R4,A
15.5,s.control,R4,G
15.4,s.control,R4,M
8.2,s.control,R4,C
13.4,s.control,R4,J
17.9,s.control,R4,D
15.8,s.control,R4,E
15.4,s.control,R4,K
12.7,s.control,R4,N
12.1,s.control,R4,P
15,s.control,R4,E
13.6,s.control,R4,P
16.4,s.control,R4,O
13.9,s.control,R4,E
17.4,s.control,R4,K
15,s.control,R4,A
9.5,s.control,R4,E
15.8,s.control,R4,D
15.3,s.control,R4,P
15.1,s.control,R4,N
14.9,s.control,R4,J
9.9,s.control,R4,N
14.6,s.control,R4,I
18.2,s.control,R4,A
16.8,s.control,R4,G
18.4,s.control,R4,K
13.8,s.control,R4,L
13.4,s.control,R4,H
16.1,s.control,R4,N
15.8,s.control,R4,I
18.5,s.control,R4,I
15.4,s.control,R4,C
